other,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,VIN
2015 Ford E-350|delivery available||more ads  by this user        |,,,,gas,165389,white,,clean,automatic,other,
2005 isuzu nrr,,,,diesel,118000,,,clean,automatic,,
2012 Chevrolet Equinox,excellent,,,gas,183325,black,,clean,automatic,SUV,2GNALBEK2C1275192
2013 Ford Escape,excellent,,4wd,gas,203197,black,,clean,automatic,SUV,1FMCU9G98DUB48224
2013 Ford Edge,excellent,,fwd,gas,166503,red,,clean,automatic,SUV,2FMDK3J92DBC08570
2014 Nissan Titan,excellent,,4wd,gas,131654,grey,,clean,automatic,pickup,1N6AA0EJ2EN500798
2012 Lincoln Navigator L,excellent,,4wd,gas,177176,black,,clean,automatic,SUV,5LMJJ3J59CEL07356
2019 Volkswagen Jetta,excellent,4 cylinders,fwd,gas,71430,grey,compact,clean,automatic,sedan,3VWC57BUXKM180009
2011 GMC ACADIA,excellent,6 cylinders,4wd,gas,184000,black,full-size,clean,automatic,SUV,
 Chevrolet Silverado 3500HD,,8 cylinders,4wd,gas,3,white,,clean,automatic,pickup,1GC4YSE7XPF258741
2007 toyota camry xle sedan 4d,good,4 cylinders,fwd,gas,170000,,,clean,automatic,,
 Ford Super Duty F-250 SRW,,8 cylinders,4wd,diesel,76789,white,,clean,automatic,pickup,1FD7W2BT1KEF84054
1998 lincoln mark viii lsc,like new,8 cylinders,rwd,gas,67000,,full-size,clean,automatic,coupe,
2022 mercedes benz glc300,like new,,4wd,gas,5857,white,compact,clean,automatic,SUV,
2020 Chevrolet Equinox,excellent,4 cylinders,fwd,gas,23277,white,mid-size,clean,automatic,SUV,3GNAXJEV1LL277121
2019 ford ranger xlt,excellent,4 cylinders,,gas,31000,black,compact,clean,automatic,truck,
2002 jeep wrangler,good,6 cylinders,4wd,gas,101754,green,,clean,manual,,
2011 Ford Edge,excellent,,fwd,gas,219961,black,,clean,automatic,SUV,2FMDK3JC5BBA95612
2013 RAM 1500,excellent,,4wd,gas,198534,silver,,clean,automatic,pickup,1C6RR7FP0DS510621
2013 RAM 1500,excellent,,4wd,gas,188934,black,,clean,automatic,pickup,1C6RR7MT6DS664430
2012 Volkswagen Routan,excellent,,fwd,gas,151893,black,,clean,automatic,mini-van,2C4RVABG2CR355027
2015 Ford Explorer,excellent,,4wd,gas,156838,blue,,clean,automatic,SUV,1FM5K8B87FGB26515
2003 Ford Excursion|odometer broken,good,10 cylinders,4wd,gas,180000,brown,full-size,clean,automatic,SUV,
1988 lincoln town car,like new,,,gas,58000,,,clean,automatic,,
2015 chevrolet volt premium,excellent,4 cylinders,fwd,hybrid,112000,brown,mid-size,clean,automatic,hatchback,
2019 Dodge Grand Caravan GT,excellent,6 cylinders,fwd,gas,114000,white,full-size,clean,automatic,mini-van,
2011 2011 Buick Lacrosse CXS||more ads  by this user        |,excellent,6 cylinders,fwd,gas,82000,white,full-size,clean,automatic,sedan,1G4GE5ED6BF303935
2001 toyota mr2 spyder,good,4 cylinders,rwd,gas,101971,black,,clean,manual,convertible,
2016 bmw 328i,like new,4 cylinders,4wd,gas,72000,red,mid-size,clean,automatic,sedan,WBA8E3C59GK500473
2021 Volkswagen Jetta,excellent,4 cylinders,fwd,gas,16078,black,compact,clean,automatic,sedan,3VWE57BU7MM033500
2017 international 4300||more ads  by this user        |,fair,,,diesel,302406,,,clean,automatic,,1HTMMMML7HH572359
2020 Volkswagen Tiguan,excellent,4 cylinders,4wd,gas,34559,blue,mid-size,clean,automatic,SUV,3VV0B7AX0LM166729
2014 Chevrolet Impala,excellent,,fwd,gas,109720,silver,,clean,automatic,sedan,2G1145SL7E9290241
2007 Chevrolet Suburban,excellent,,4wd,gas,223215,white,,clean,automatic,SUV,1GNFK16367J161718
2012 Dodge Charger,excellent,,rwd,gas,165878,red,,clean,automatic,sedan,2C3CDXHG7CH208876
2015 Ford Expedition,excellent,,4wd,gas,125005,white,,clean,automatic,SUV,1FMJU1MT8FEF22563
2009 Ford F-150,excellent,,,gas,152029,red,,clean,automatic,pickup,1FTPW12V09FA92281
2015 Chevy Silverado 3500HD||more ads  by this user        |,,8 cylinders,rwd,diesel,199273,white,full-size,clean,automatic,truck,1GB3CYC85FF592008
2020 Buick Encore,excellent,4 cylinders,fwd,gas,32149,,compact,clean,automatic,SUV,KL4CJASB1LB028374
2006 Chevrolet Silverado 1500,excellent,,,gas,87460,white,,clean,automatic,pickup,1GCEC14V76E214634
2014 Chrysler Town & Country,excellent,,,gas,128006,white,,clean,automatic,mini-van,2C4RC1HG7ER109106
2007 Saturn Sky,excellent,,rwd,gas,90466,,,clean,automatic,convertible,1G8MB35B07Y119762
2015 RAM 1500,excellent,,4wd,gas,216736,black,,clean,automatic,pickup,1C6RR7FT2FS711999
2004 Chrysler Sebring,excellent,,fwd,gas,143803,grey,,clean,automatic,sedan,1C3EL46X84N274052
2020 GMC Terrain,excellent,4 cylinders,fwd,gas,27369,black,mid-size,clean,automatic,SUV,3GKALMEV7LL181374
2008 Hyundai Santa Fe,good,6 cylinders,4wd,gas,122000,white,mid-size,clean,automatic,SUV,
2017 ford escape,excellent,4 cylinders,4wd,gas,65000,red,,clean,automatic,SUV,
2001 ford f-150,good,8 cylinders,4wd,gas,175000,,full-size,clean,automatic,truck,
2008 ford edge limited,good,6 cylinders,fwd,gas,144000,,,clean,automatic,,
2020 2020 Ford Fusion,excellent,4 cylinders,,gas,17659,white,mid-size,clean,automatic,sedan,
