condition,price,ended,vin,make,model,ebay_item_id,winning_bid
used,"US $41,580.0","Apr 13, 2023|15:24:36 PD",5YJSA1E20JF273965,Tesla,,256043142721,
used,"US $33,000.0","Apr 24, 2023|15:25:17 PD",5YJYGDEE9MF069271,Tesla,,134526627872,
used,"US $37,500.0","Apr 08, 2023|21:12:22 PD",5YJYGDEE9MF069271,Tesla,,134516886841,
used,"US $22,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 08, 2023|11:46:56 PD",5YJSA1E21FF111219,Tesla,70D,204326257344,
used,"US $35,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 06, 2023|10:59:29 PD",5YJ3E1EB5NF253824,Tesla,,295679965047,
used,"US $25,900.0","Mar 02, 2023|10:57:16 PS",5YJ3E1EA6KF296796,Tesla,,255993280087,
used,"US $59,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 24, 2023|19:02:32 PD",5YJSA1E41MF425628,Tesla,,325622459325,
used,,"May 20, 2023|12:37:32 PD",5yj3e1ebxkf365529,Tesla,,285283975255,"US $25,000.0"
used,,"May 17, 2023|21:30:00 PD",5YJSA1S15EFP30304,Tesla,,175721153379,"US $10,899.0"
used,,"May 18, 2023|06:21:55 PD",5YJSA1DN8DFP05993,Tesla,,125930268138,"US $12,195.0"
used,,"May 19, 2023|00:00:00 PD",5YJSA1H17FF095787,Tesla,AWD 85 4dr Liftback,155550846125,"US $25,000.0"
used,,"May 07, 2023|15:31:17 PD",5YJ3E1EB0JF170828,Tesla,,115789100740,"US $30,100.0"
used,,"Apr 02, 2023|18:28:12 PD",5YJ3E1EB7MF850262,Tesla,,145001454022,"US $27,105.0"
used,,"Apr 12, 2023|20:01:56 PD",5YJSA1E20JF273965,Tesla,,256034351334,"US $42,601.0"
used,,"Mar 01, 2023|10:51:53 PS",5YJSA1AG5DFP11076,Tesla,,266139006598,"US $18,000.0"
used,,"Apr 26, 2023|19:30:00 PD",5YJSA1E23GF174386,Tesla,,275804507609,"US $30,266.0"
used,,"May 20, 2023|14:51:52 PD",5YJ3E1EA0JF050230,Tesla,,115803843724,"US $19,100.0"
used,,"Apr 28, 2023|06:26:37 PD",5YJ3E1EA3MF053367,Tesla,Standard,285246566406,"US $25,000.0"
used,,"Apr 10, 2023|21:20:43 PD",5YJSA1E29JF272734,Tesla,,125862857559,"US $43,201.0"
used,,"Mar 23, 2023|00:01:21 PD",5YJ3E1EA6JF048448,Tesla,,204272737859,"US $23,200.0"
used,,"Mar 27, 2023|09:04:41 PD",5YJSA1CN3DFP11492,Tesla,,185822000524,"US $17,000.0"
used,,"Apr 22, 2023|18:32:37 PD",5YJ3E1EA0JF050230,Tesla,,115771668325,"US $19,095.0"
used,,"Apr 25, 2023|20:01:36 PD",5yjsa1e17hf213523,Tesla,,266225585693,"US $21,705.0"
used,,"Mar 14, 2023|10:29:08 PD",7SAYGDEF9NF398145,Tesla,Performance,275732410674,"US $47,701.0"
used,,"Feb 23, 2023|08:26:20 PS",5YJSA1E24GF126606,Tesla,,314394859397,"US $23,000.0"
used,,"Apr 20, 2023|16:08:07 PD",5YJYGDEF9MF230405,Tesla,,125875927742,"US $49,990.0"
used,,"Apr 13, 2023|13:07:00 PD",7SAYGDEF6NF460777,Tesla,,275779876541,"US $46,100.0"
used,,"Apr 14, 2023|18:20:52 PD",5yjsa1BG0DFP07578,Tesla,S,204298292257,"US $19,500.0"
used,,"Feb 26, 2023|14:27:41 PS",5YJ3E1EC7NF102976,Tesla,,304808250418,"US $43,100.0"
used,,"Mar 04, 2023|09:00:00 PS",5YJ3E1EA7JF016057,Tesla,,325544498165,"US $26,500.0"
used,,"Apr 16, 2023|05:37:55 PD",5YJSA1E55MF435572,Tesla,,256034776073,"US $62,500.0"
used,,"May 16, 2023|17:30:00 PD",5YJSA1E62MF438521,Tesla,,266251855561,"US $80,821.0"
used,,"Feb 23, 2023|16:53:48 PS",5YJSA1H26FFP78069,Tesla,,175617508418,"US $21,100.0"
used,,"Apr 08, 2023|06:35:06 PD",5YJ3E1EB2KF390036,Tesla,,166004952501,"US $30,100.0"
used,,"Apr 19, 2023|17:31:45 PD",5YJSA1E60MF430790,Tesla,Model S Plaid,334830351487,"US $45,778.3"
used,"US $58,999.0","Apr 09, 2023|22:07:16 PD",7SAYGDEE5PF599776,Tesla,Long Range with Autopilot,256038652097,
used,,"Apr 02, 2023|15:25:49 PD",5yjsa1s23ff093567,Tesla,,204285944273,"US $26,500.0"
used,,"Mar 06, 2023|15:12:39 PS",5YJSA1E40GF119797,Tesla,,165956371702,"US $41,900.0"
used,,"Mar 05, 2023|20:33:05 PS",5YJSA1CN9CFP02214,Tesla,Model S,285162335355,"US $19,000.0"
used,"US $57,000.0","Mar 10, 2023|15:09:32 PS",7SAYGDEF3NF493851,Tesla,,155446690448,
used,,"Mar 14, 2023|08:16:45 PD",5YJSA1E40GF119797,Tesla,,165971669335,"US $40,000.0"
used,"US $105,888.0","Apr 28, 2023|08:24:39 PD",5YJSA1E63NF462036,Tesla,AWD Plaid 4dr Liftback,166048762334,
used,,"Mar 05, 2023|18:00:00 PS",5YJ3E1EA3LF633586,Tesla,3,225454175062,"US $36,999.0"
used,,"Mar 03, 2023|15:00:13 PS",5YJSA1E26JF271525,Tesla,100D AWD,195615225481,"US $44,999.0"
used,,"Mar 26, 2023|18:45:59 PD",5YJSA1E29FF118435,Tesla,,285197211405,"US $34,979.0"
used,,"Mar 16, 2023|22:43:17 PD",5YJSA1E45HF184789,Tesla,,144980883930,"US $57,990.0"
used,,"Mar 29, 2023|05:05:24 PD",5YJ3E1EA8KF317339,Tesla,Standard Range 4dr Fastback,374572201076,"US $32,334.0"
used,"US $48,600.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 21, 2023|12:53:39 PD",5YJSA1E27MF418097,Tesla,Only 20400 Miles! Supercharging Enable.,334836428899,
used,"US $24,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 18, 2023|18:01:34 PD",5YJSA1CN6DFP28254,Tesla,Model S,325621534974,
used,"US $45,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 20, 2023|06:25:59 PD",5YJSA1E48HF218286,Tesla,,304936782034,
used,"US $68,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 12, 2023|15:46:28 PD",5yjsa1e53mf440463,Tesla,,385595607963,
used,"US $29,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 31, 2023|15:30:43 PD",5YJ3E1EA3MF053367,Tesla,Standard,285163468222,
used,"US $25,900.0","Feb 25, 2023|17:44:54 PS",5YJ3E1EA6KF296796,Tesla,,255985696221,
used,"US $39,999.0","Apr 28, 2023|00:54:10 PD",5YJYGDEE8MF065146,Tesla,,185863956472,
used,,"Mar 19, 2023|19:10:16 PD",5YJ3E1EB7MF850262,Tesla,,144985030955,"US $27,500.0"
used,,"Mar 21, 2023|07:45:16 PD",5YJSA1CN9CFP02214,Tesla,Model S,285185059388,"US $18,600.0"
used,"US $48,900.0","Apr 18, 2023|20:15:00 PD",5YJSA1E40GF171284,Tesla,P100D LUDICROUS - FREE VEHICLE SHIPPING!*,195695164253,
used,"US $37,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 15, 2023|18:50:33 PD",5YJ3E1EAXNF372329,Tesla,,304929993500,
used,"US $29,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 06, 2023|04:30:43 PD",5YJ3E1EA0LF739087,Tesla,,185868866216,
used,"US $22,995.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 25, 2023|07:01:39 PD",5YJSA1DN2DFP10011,Tesla,85,256048488005,
used,"US $43,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 03, 2023|21:16:22 PD",5YJSA1E23LF350976,Tesla,,325613496525,
used,"US $62,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 13, 2023|16:50:23 PD",5YJSA1E41MF425628,Tesla,,325591469292,
used,"US $23,900.0","Apr 28, 2023|14:16:42 PD",5YJ3E1EA0MF086648,Tesla,Standard Range Plus Full Self Drive Package Paid,256045440654,
used,"US $37,100.0","May 14, 2023|08:29:38 PD",5YJSA1E45GF124431,Tesla,,125890696321,
used,"US $34,999.0","Mar 20, 2023|08:54:06 PD",5YJ3E1EB2NF131454,Tesla,Long Range Dual Motor AWD Loaded,165965001523,
